Resume_Text,Result
Python SQL machine learning data analysis pandas statistics dashboard reporting,Shortlisted
Advanced Python regression classification data visualization Power BI Excel automation,Shortlisted
Machine learning model training sklearn pandas numpy SQL feature engineering,Shortlisted
Data analyst with SQL Python Tableau Excel business insights reporting,Shortlisted
Built predictive models using logistic regression decision trees naive bayes Python,Shortlisted
Experience in data cleaning preprocessing exploratory data analysis and visualization,Shortlisted
Python developer with pandas numpy matplotlib sklearn and database querying,Shortlisted
Created dashboards in Power BI using sales data KPIs and SQL queries,Shortlisted
Applied machine learning algorithms for fraud detection customer segmentation analytics,Shortlisted
Strong knowledge of statistics probability hypothesis testing and Python programming,Shortlisted
Worked on resume screening NLP text classification using CountVectorizer Naive Bayes,Shortlisted
Data science intern skilled in Python SQL Excel Power BI and predictive analytics,Shortlisted
Built chatbot analytics pipeline using Python APIs databases and reporting dashboards,Shortlisted
Performed sentiment analysis text mining classification and model evaluation,Shortlisted
Developed recommendation system using user behavior data and machine learning,Shortlisted
Hands on experience with Jupyter notebooks pandas dataframes and CSV datasets,Shortlisted
Analyzed customer churn using classification models confusion matrix and accuracy score,Shortlisted
Created ETL pipeline for cleaning storing and analyzing retail transaction data,Shortlisted
Skilled in SQL joins subqueries aggregations Python scripts and data storytelling,Shortlisted
Built forecasting model with historical sales data feature selection and validation,Shortlisted
Machine learning project using train test split cross validation and sklearn metrics,Shortlisted
Data visualization specialist with Python charts Excel pivot tables and dashboard design,Shortlisted
NLP project experience in tokenization bag of words and text classification,Shortlisted
Analyzed large datasets using Python pandas groupby merge and statistical summaries,Shortlisted
Business analyst with SQL Excel Python reporting automation and stakeholder presentations,Shortlisted
Sales executive with customer calls field visits product pitching and revenue targets,Rejected
Graphic designer skilled in Photoshop Illustrator branding posters and social media creatives,Rejected
Human resources coordinator experienced in hiring onboarding payroll and employee engagement,Rejected
Content writer with blog writing SEO copywriting editing and social media captions,Rejected
Civil engineer with construction site supervision AutoCAD estimation and vendor coordination,Rejected
Mechanical engineer experienced in machine maintenance production planning and quality checks,Rejected
Digital marketing specialist with Google Ads Meta Ads SEO and campaign management,Rejected
Accountant with GST Tally bookkeeping invoice processing and bank reconciliation,Rejected
Teacher with classroom management lesson planning student assessment and curriculum development,Rejected
Operations executive handling inventory dispatch vendor follow up and daily coordination,Rejected
Customer support associate resolving complaints emails calls and service requests,Rejected
Event manager handling sponsorships venue coordination guest management and promotions,Rejected
Legal intern experienced in contract drafting case research compliance and documentation,Rejected
Fashion merchandiser with fabric sourcing trend research vendor negotiation and sampling,Rejected
Front office executive managing visitors calls appointments and administrative support,Rejected
Supply chain associate with warehouse tracking logistics procurement and delivery follow up,Rejected
Finance intern with financial statements budgeting variance analysis but no programming experience,Rejected
Marketing intern skilled in brand campaigns market research presentations and consumer surveys,Rejected
Video editor with Premiere Pro After Effects reels YouTube editing and motion graphics,Rejected
Retail store manager handling staff rosters sales targets billing and customer service,Rejected
Public relations executive managing media relations press releases influencer outreach and events,Rejected
Electrical technician skilled in wiring maintenance panels troubleshooting and safety checks,Rejected
Architecture intern with SketchUp design drawings site visits and 3D modeling,Rejected
Travel consultant handling bookings itineraries visa documentation and customer queries,Rejected
Restaurant supervisor managing staff food quality billing inventory and guest experience,Rejected
